Country,Level 1 Index,Time,Indprod Index Value (I21)
AT,C,2019-03,104.6
AT,C,2019-04,97.1
AT,C,2019-05,99.5
AT,C,2019-06,93.6
AT,C,2019-07,100.4
AT,C,2019-08,83.2
AT,C,2019-09,100.2
AT,C,2019-10,105.9
AT,C,2019-11,98.2
AT,C,2019-12,91.5
AT,C,2020-01,87.0
AT,C,2020-02,90.8
AT,C,2020-03,95.9
AT,C,2020-04,72.9
AT,C,2020-05,76.9
AT,C,2020-06,88.8
AT,C,2020-07,95.1
AT,C,2020-08,79.3
AT,C,2020-09,100.9
AT,C,2020-10,99.4
AT,C,2020-11,101.3
AT,C,2020-12,93.9
AT,C,2021-01,79.4
AT,C,2021-02,90.1
AT,C,2021-03,112.2
AT,C,2021-04,101.3
AT,C,2021-05,96.2
AT,C,2021-06,106.6
AT,C,2021-07,102.3
AT,C,2021-08,90.8
AT,C,2021-09,106.9
AT,C,2021-10,100.8
AT,C,2021-11,108.8
AT,C,2021-12,104.6
AT,C,2022-01,89.2
AT,C,2022-02,97.5
AT,C,2022-03,117.5
AT,C,2022-04,102.5
AT,C,2022-05,110.6
AT,C,2022-06,111.7
AT,C,2022-07,101.9
AT,C,2022-08,95.1
AT,C,2022-09,112.8
AT,C,2022-10,106.0
AT,C,2022-11,115.6
AT,C,2022-12,105.7
AT,C,2023-01,93.9
AT,C,2023-02,100.4
AT,C,2023-03,119.8
AT,C,2023-04,99.5
AT,C,2023-05,106.3
AT,C,2023-06,111.0
AT,C,2023-07,99.3
AT,C,2023-08,93.0
AT,C,2023-09,106.4
AT,C,2023-10,105.5
AT,C,2023-11,108.4
AT,C,2023-12,95.6
AT,C,2024-01,90.5
AT,C,2024-02,98.0
AT,C,2024-03,105.0
AT,C,2024-04,101.4
AT,C,2024-05,95.4
AT,C,2024-06,102.5
AT,C,2024-07,102.8
AT,C,2024-08,86.4
AT,C,2024-09,103.1
AT,C,2024-10,106.4
AT,C,2024-11,101.3
AT,C,2024-12,93.6
AT,C,2025-01,90.4
AT,C,2025-02,95.4
AT,C,2025-03,108.1
AT,C,2025-04,103.7
AT,C,2025-05,100.9
AT,C,2025-06,104.3
AT,C,2025-07,109.8
AT,C,2025-08,85.5
AT,D,1996-01,45.7
AT,D,1996-02,43.6
AT,D,1996-03,42.9
AT,D,1996-04,35.6
AT,D,1996-05,33.9
AT,D,1996-06,32.2
AT,D,1996-07,32.6
AT,D,1996-08,31.9
AT,D,1996-09,34.3
AT,D,1996-10,38.1
AT,D,1996-11,38.8
AT,D,1996-12,47.0
AT,D,1997-01,47.8
AT,D,1997-02,38.3
AT,D,1997-03,39.4
