Country,Time,USD-DKK Spot Exchange Rate
DK,1992-11,0.16348952032174738
DK,1992-12,0.1633826749011535
DK,1993-01,0.16046470578796193
DK,1993-02,0.1586823021628398
DK,1993-03,0.15812276651592297
DK,1993-04,0.16302841585288316
DK,1993-05,0.16194069731664265
DK,1993-06,0.1577784790154623
DK,1993-07,0.15030587245043664
DK,1993-08,0.14497796334957086
DK,1993-09,0.15074770863482875
DK,1993-10,0.15065005498727008
DK,1993-11,0.14778252323880178
DK,1993-12,0.14916022791682826
DK,1994-01,0.1477170332511042
DK,1994-02,0.14778033930365905
DK,1994-03,0.15083866296609147
DK,1994-04,0.15005552054260077
DK,1994-05,0.15418536164176574
DK,1994-06,0.15677421377731793
DK,1994-07,0.1623877494681801
DK,1994-08,0.1616945589780904
DK,1994-09,0.16383236672236967
DK,1994-10,0.1681265656786429
DK,1994-11,0.16592553262095971
DK,1994-12,0.1623007757977083
DK,1995-01,0.16580723251148213
DK,1995-02,0.16862837678324508
DK,1995-03,0.17767985643467601
DK,1995-04,0.18385394642496003
DK,1995-05,0.18117911367177592
DK,1995-06,0.18313676653725003
DK,1995-07,0.1849351802193331
DK,1995-08,0.17838030681412773
DK,1995-09,0.17671903440719602
DK,1995-10,0.18210955710955712
DK,1995-11,0.18207308413597217
DK,1995-12,0.17924037927264252
DK,1996-01,0.17662227560139884
DK,1996-02,0.17621455884685192
DK,1996-03,0.1752111294109402
DK,1996-04,0.17226528854435832
DK,1996-05,0.16903313049357674
DK,1996-06,0.16966118661033916
DK,1996-07,0.17256850969835022
DK,1996-08,0.17443787395119228
DK,1996-09,0.17224451831820453
DK,1996-10,0.17071838295547664
DK,1996-11,0.17225638640552599
DK,1996-12,0.16827084875816115
DK,1997-01,0.16340136276736547
DK,1997-02,0.15657538321825043
DK,1997-03,0.15473169524045305
DK,1997-04,0.15331309600466073
DK,1997-05,0.15402150140159565
DK,1997-06,0.15196644580876542
DK,1997-07,0.14637645095657012
DK,1997-08,0.14263503972385855
DK,1997-09,0.1470566609314569
DK,1997-10,0.1494276919398703
DK,1997-11,0.15165991780032456
DK,1997-12,0.147597118904239
DK,1998-01,0.14452955629426217
DK,1998-02,0.14474084152325262
DK,1998-03,0.1435523463631013
DK,1998-04,0.14456298609304075
DK,1998-05,0.14779344388282936
DK,1998-06,0.146425747503441
DK,1998-07,0.14598753266471043
DK,1998-08,0.14691406996048012
DK,1998-09,0.15451890538807422
DK,1998-10,0.16052910392654188
DK,1998-11,0.15634771732332708
DK,1998-12,0.15740347232059937
DK,1999-01,0.1557777985481509
DK,1999-02,0.15065005498727008
DK,1999-03,0.14644075739159723
DK,1999-04,0.1439366678661389
DK,1999-05,0.14301036825169824
DK,1999-06,0.1395809779043312
DK,1999-07,0.1392912859371518
DK,1999-08,0.1425638686131387
DK,1999-09,0.14118710114643926
DK,1999-10,0.14398848092152627
DK,1999-11,0.13885224732362292
DK,1999-12,0.13587510360476648
DK,2000-01,0.13606923202525445
DK,2000-02,0.13205678441729946
DK,2000-03,0.12948671466307557
DK,2000-04,0.12678770666396186
DK,2000-05,0.12146388271447484
DK,2000-06,0.12738691226863352
DK,2000-07,0.1258320645266827
DK,2000-08,0.12127238991498804
DK,2000-09,0.11648359328588569
DK,2000-10,0.11457903661946009
DK,2000-11,0.1149530991355527
DK,2000-12,0.12039634476697289
DK,2001-01,0.1255823883258612
DK,2001-02,0.123300001233
DK,2001-03,0.12161159688187867
DK,2001-04,0.11953572325089352
DK,2001-05,0.11729379750398798
DK,2001-06,0.11442040344634256
DK,2001-07,0.11568450521737118
DK,2001-08,0.12101849162552039
DK,2001-09,0.12246797462463566
DK,2001-10,0.12167522449078919
DK,2001-11,0.11928619143048
DK,2001-12,0.11972319996168856
DK,2002-01,0.11878882909851157
DK,2002-02,0.11717422635717048
DK,2002-03,0.11793148180906893
DK,2002-04,0.11912987539015035
DK,2002-05,0.12330760314681004
DK,2002-06,0.1285760205721633
DK,2002-07,0.13367732966166268
DK,2002-08,0.13166903670932742
DK,2002-09,0.13200971591509136
DK,2002-10,0.13204457824961707
DK,2002-11,0.13476907319308365
DK,2002-12,0.13722315229025442
DK,2003-01,0.14289797084881395
DK,2003-02,0.14509576320371445
DK,2003-03,0.14533405031464822
DK,2003-04,0.1462394524794899
DK,2003-05,0.1555984315678098
DK,2003-06,0.15718327569946558
DK,2003-07,0.15284677111196024
DK,2003-08,0.15003075630504253
DK,2003-09,0.15162312555911028
DK,2003-10,0.15760689687780738
DK,2003-11,0.15741586122217674
DK,2003-12,0.165188231990353
