99xx_HTS,Mapped_HTS,Revision,Publication_Date
9903.85.15,8302.49.6055,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.49.6085,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.50.0000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.60.3000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.60.9000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8305.10.0050,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8306.30.0000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8414.59.6590,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8415.90.8025,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8415.90.8045,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8415.90.8085,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8418.99.8005,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8418.99.8050,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8418.99.8060,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8419.50.5000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8419.90.1000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8422.90.0640,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8424.90.9080,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8473.30.2000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8473.30.5100,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8479.89.9599,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8479.90.8500,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8479.90.9596,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8481.90.9060,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8481.90.9085,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8486.90.0000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8487.90.0080,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8503.00.9520,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8508.70.0000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8513.90.2000,hts_2025_revision_14_csv,2025-06-02
