99xx_HTS,Mapped_HTS,Normalized_HTS,Revision,Publication_Date,effective_pct_delta
9903.81.90,7307.23.00,730723,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.29.00,730729,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.91.10,730791,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.91.30,730791,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.91.50,730791,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.92.30,730792,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.92.90,730792,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.93.30,730793,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.93.60,730793,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.93.90,730793,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.99.10,730799,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.99.30,730799,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.99.50,730799,hts_2025_revision_14_csv,2025-06-02,25.0
